category,text,label
electronics,save your money!,negative
electronics,horrible dvd player,negative
electronics,cases break instantly!,negative
electronics,these dvd-rs suck,negative
electronics,waste of money,negative
electronics,good when it works,negative
electronics,is it live or is it memorex?,negative
electronics,dead on arrival...,negative
electronics,beware re- bate not honored!,negative
electronics,no cash back here!,negative
electronics,poor quality - avoid,negative
electronics,worst choice of my life,negative
electronics,well built poorly suited.,negative
electronics,i would never recommend this product to anyone,negative
electronics,freezes and tech help not good,negative
electronics,kingston 2 gb sd memory card,negative
electronics,sad compared to older models,negative
electronics,look for other alternatives...,negative
electronics,worked great at first......,negative
electronics,kodak card reader,negative
electronics,not suitable for heavy books,negative
electronics,flimsy product.,negative
electronics,total rip-off,negative
electronics,sent it back,negative
electronics,poor customer service,negative
electronics,told by company that it would take up to four weeks!,negative
electronics,i've finally learned a very expensive lesson,negative
electronics,had pix loss w/lexar cards,negative
electronics,back-ups es drops power after power is restored!,negative
electronics,unresolved problem,negative
electronics,wont work with itunes for windows,negative
electronics,worked ok for about 230 days then stopped.,negative
electronics,garbage-stopped working after 2 months of extremely gentle use,negative
electronics,dont buy not worth a cent,negative
electronics,sorry - didn't do the job for me,negative
electronics,this junk died and erased 100 images,negative
electronics,doesn't pass the test of time,negative
electronics,broken within hours. junk!,negative
electronics,get a 2g!,negative
electronics,died suddenly... repair impractical lost my stuff,negative
electronics,unreliable. cute design. bad engineering. poor quality control,negative
electronics,broke very easily,negative
electronics,better not to buy,negative
electronics,be careful,negative
electronics,broke after 1+ year,negative
electronics,short-lived machine--avoid this lemon,negative
electronics,temporary device,negative
electronics,ihome is a disappointment,negative
electronics,too bright! not for light sleepers!,negative
electronics,great features unreliable connections,negative
electronics,kills computer / un-stoppable shriek alarm,negative
electronics,no support,negative
electronics,did not get it in the mail yet,negative
electronics,bad quality,negative
electronics,great for a while and then not so good,negative
electronics,good system - one huge flaw,negative
electronics,sony rm-ax4000,negative
electronics,does not work!!,negative
electronics,check compatibility with writer before buying media!,negative
electronics,the worst brand i've tried.,negative
electronics,great product if i could use it,negative
electronics,not very durable. will need battery changes.,negative
electronics,okay i guess...,negative
electronics,chinese made junk - save your money!,negative
electronics,about this thing,negative
electronics,don't buy if near us/canada border,negative
electronics,good potential but nasty,negative
electronics,stayaway from it,negative
electronics,love affair gone sour,negative
electronics,be forewarned if your thinking of using this with airport express,negative
electronics,worked like a charm for 24 hours,negative
electronics,unable to install despite reaching d-link technical support,negative
electronics,are there two m230s ?,negative
electronics,might be great if it worked,negative
electronics,sandisk 2gb,negative
electronics,quality control?,negative
electronics,very unhappy with this purchase,negative
electronics,dwt108 double wide 108 disc dvd tower,negative
electronics,bad compatibility,negative
electronics,it does not work with macs,negative
electronics,card error,negative
electronics,specs aren't 100% correct,negative
electronics,has anyone else had this problem??,negative
electronics,beware of mail-in rebate hoax,negative
electronics,cheap hunk of junk,negative
electronics,memorex blank dvd's,negative
electronics,charger stopped charging,negative
electronics,viruses on mfg software caution !!!,negative
electronics,install cd has viruses,negative
electronics,mine was doa too,negative
electronics,hard to rate; didn't arrive in working order.,negative
electronics,bad disc error - possible fix,negative
electronics,what happened to the region code free setting??? help!,negative
electronics,not a quality item,negative
electronics,the linksys converter was pure junk!,negative
electronics,did not perform as advertised,negative
electronics,allsop lens cleaner,negative
electronics,wanted to like it but...,negative
electronics,great product! for two days!,negative
electronics,stops working after 3 months,negative
electronics,panasonic cd player is not continuous,negative
electronics,short bulb life,negative
electronics,started good but ended bad,negative
electronics,poor quality,negative
electronics,these do not work with the burner i bought,negative
electronics,don't buy this,negative
electronics,works good for a while then dies...,negative
electronics,you get what you pay for . . .,negative
electronics,piece of crap. ...stay away.,negative
electronics,unreliable - voice unit keeps breaking,negative
electronics,hp has lost me as a customer..,negative
electronics,total garbage,negative
electronics,magenta toner leaks on this model,negative
electronics,same as the others,negative
electronics,terrible... spend the money and get the d-link dwl-g730ap,negative
electronics,not acceptable for multi-user or wep access,negative
electronics,great while it lasted but,negative
electronics,serious problems,negative
electronics,"very cheap and ""plasticy""",negative
electronics,disappointed with the mouse,negative
electronics,slower than molasses--until i formatted it.,negative
electronics,all setup as described here unit not stable.,negative
electronics,incompatible no support,negative
electronics,caveat emptor,negative
electronics,not satisfied.,negative
electronics,coby universal portable cd/md car kit,negative
electronics,not a good product,negative
electronics,needs significant improvement,negative
electronics,ipod is great - itunes makes it suck!,negative
electronics,the volumen is not enough,negative
electronics,killed my ipod,negative
electronics,didn't work!,negative
electronics,not worth,negative
electronics,warning! batteries die quickly!!,negative
electronics,stay away!!! eats batteries!!!,negative
electronics,not by apple!!!!!!,negative
electronics,not what i thought,negative
electronics,stay away from this product,negative
electronics,the worst,negative
electronics,phone stops ringing,negative
electronics,barely works - low audio quality,negative
electronics,incorrectly described,negative
electronics,metal stablized system...,negative
electronics,useless - does not retract,negative
electronics,the worst technical support,negative
electronics,brand new and its broken!!!,negative
electronics,i've had dish networks for two years now.,negative
electronics,no technical support available,negative
electronics,olympus ws-320m,negative
electronics,buyer beware,negative
electronics,customer service not helpul,negative
electronics,low power,negative
electronics,microsoft 5000 laser mouse,negative
electronics,poor sound quality - interference from other electronics,negative
electronics,not for hardcore gamers,negative
electronics,good sound... sucks for ipod!!!,negative
electronics,not good,negative
electronics,insten - gooseneck fm trans. w/ car charger for ipod nano,negative
electronics,font size stuck ridiculously small,negative
electronics,a few problems,negative
electronics,don't buy this ink hog,negative
electronics,hp - bad printers bad service and a bad name.,negative
electronics,doesn't fit etrex vista cx,negative
electronics,not too good!,negative
electronics,don't buy vtech - battery issues,negative
electronics,very disappointing in numerous ways,negative
electronics,targus pa400u defcon 1 ultra notebook computer security system,negative
electronics,poor macintosh support,negative
electronics,poor build quality,negative
electronics,aweful headphones!,negative
electronics,just not good enough,negative
electronics,poor item choice,negative
electronics,do not buy this,negative
electronics,light duty,negative
electronics,disappointed in video quality,negative
electronics,not compatible with some notebooks,negative
electronics,way overpriced,negative
electronics,doesn't last as advertised,negative
electronics,i hate dese,negative
electronics,no security & difficult to use,negative
electronics,horrible lock,negative
electronics,stopped working after a couple of weeks use.,negative
electronics,disparate cord length- more than irritating.,negative
electronics,not working as well as i'd like,negative
electronics,does not retract,negative
electronics,didn't work well for me - running mac os 10.4.8,negative
electronics,not good for dvd or game console,negative
electronics,great sound. but lacking in other areas.,negative
electronics,poor reproduction,negative
electronics,1 shortcoming only,negative
electronics,item was the wrong color,negative
electronics,disappointing speakerphone,negative
electronics,my pc is now dead and netgear doesn't care,negative
electronics,why oh why didn't i check amazon reviews first?,negative
electronics,it is what it is,negative
electronics,six months and no thinkpad tip? completely unsatisfactory!,negative
electronics,very disappointed and i returned them,negative
electronics,amazon is sleeping,negative
electronics,want to donate your money to ridata plus pay tax and shipping?,negative
electronics,terrible discs,negative
electronics,save your money,negative
electronics,scan disk mini sd,negative
electronics,a big disappointment,negative
electronics,buyer beware!!!!,negative
electronics,a lot lacking for this kind of money,negative
electronics,again monster has to be kidding (and they are),negative
electronics,poor quality video. not worth purchasing.,negative
electronics,lousy customer support and windows xp surprise changes...,negative
electronics,not worth it,negative
electronics,okay product. contemptuous product support.,negative
electronics,map activation? for a product i purchased?,negative
electronics,why is this so cheap?,negative
electronics,barely gets the job done ...,negative
electronics,good idea poor design,negative
electronics,very cheap cases...and i don't mean only the price,negative
electronics,cheap costs you more in the long run,negative
electronics,got mine at the dollar store,negative
electronics,the worst wireless card ever,negative
electronics,an interesting-looking but useless blinking bit of plastic,negative
electronics,not worth the money,negative
electronics,terrible! do not purchase!,negative
electronics,fire hazard,negative
electronics,five stars for the buds zero stars for the cord,negative
electronics,wouldn't work for me - soooo disappointed,negative
electronics,an o.k. keyboard with cheesy backlighting and no fn key,negative
electronics,this card adapter doesn't work with my hp printer,negative
electronics,cheap and cheaply made!,negative
electronics,if you have a tekxon digital camera do not get this!,negative
electronics,stressful 30 minutes,negative
electronics,not reliable and customer service is poor,negative
electronics,your money is better spent elsewhere,negative
electronics,if i could give this a zero i would.,negative
electronics,too many disappointments,negative
electronics,just didn't work!,negative
